"codigo";"nome";"departamento_id"
133;"SOCIEDADES INDÍGENAS";7
134;"TEORIA ANTROPOLÓGICA 1";7
135;"TEORIA ANTROPOLÓGICA 2";7
136;"TÓPICOS ESPECIAIS EM ANTROPOLOGIA 2";7
137;"TÓPICOS ESPECIAIS EM ANTROPOLOGIA 1";7
138;"TÓPICOS ESPECIAIS EM ANTROPOLOGIA 3";7
139;"TÓPICOS ESPECIAIS EM ANTROPOLOGIA 4";7
140;"A PALAVRA EM PERFORMANCE";8
141;"A VOZ EM PERFORMANCE";8
142;"CORPOREIDADES BRASILEIRAS";8
143;"DIPLOMAÇÃO EM ARTES CÊNICAS 1";8
144;"DIPLOMAÇÃO EM ARTES CÊNICAS 2";8
145;"DIPLOMAÇÃO EM INTERPRETAÇÃO TEATRAL";8
146;"DIRECAO 1";8
147;"ENCENAÇÃO TEATRAL 1";8
148;"ENCENAÇÃO TEATRAL 2";8
149;"ENCENAÇÃO TEATRAL 3";8
150;"ESTÁGIO SUPERVISIONADO EM ARTES CÊNICAS 1";8
151;"ESTÁGIO SUPERVISIONADO EM ARTES CÊNICAS 2";8
152;"FUNDAMENTOS DA EDUCACAO ARTISTICA";8
153;"ILUMINACAO 1";8
154;"INTERPRETAÇÃO E MONTAGEM";8
155;"INTERPRETAÇÃO TEATRAL 1";8
156;"INTERPRETAÇÃO TEATRAL 2";8
157;"INTERPRETAÇÃO TEATRAL 3";8
158;"INTERPRETAÇÃO TEATRAL 4";8
159;"LABORATÓRIO DE TEATRO";8
160;"METODOLOGIA DE PESQUISA EM ARTES CÊNICAS";8
161;"METODOLOGIA DE PESQUISA EM ARTES CÊNICAS E EDUCAÇÃO";8
162;"METODOLOGIA DO ENSINO DO TEATRO 1";8
163;"METODOLOGIA DO ENSINO DO TEATRO 2";8
164;"MOVIMENTO E LINGUAGEM 1";8
165;"MOVIMENTO E LINGUAGEM 2";8
166;"MOVIMENTO E LINGUAGEM 3";8
167;"MOVIMENTO E LINGUAGEM 4";8
168;"POÉTICAS TEATRAIS";8
169;"PRÁTICA DE MONTAGEM";8
170;"PROJETO EM INTERPRETAÇÃO TEATRAL";8
171;"TEATRALIDADES BRASILEIRAS";8
172;"TECNICAS EXPERIMENTAIS DE ARTES CENICAS 1";8
173;"TECNICAS EXPERIMENTAIS DE ARTES CENICAS 2";8
174;"TEORIAS E PROCESSOS CRIATIVOS PARA A CENA";8
175;"TRABALHO DE CONCLUSÃO DE CURSO EM INTEREPRETAÇÃO TEATRAL 1";8
176;"TRABALHO DE CONCLUSÃO DE CURSO EM INTEREPRETAÇÃO TEATRAL 2";8
177;"VOZ E PALAVRA NA PERFORMANCE TEATRAL CONTEMPORANEA 1";8
178;"ANATOMIA ARTÍSTICA";9
179;"ARTE E LITERATURA";9
180;"ARTE E PENSAMENTO";9
181;"ARTE E SOCIOLOGIA";9
182;"ARTE ELETRONICA 1";9
183;"ARTE ELETRONICA 2";9
184;"ATELIE 1";9
185;"ATELIE 2";9
186;"CALCOGRAVURA";9
187;"CRÍTICA E HISTÓRIA DA ARTE NO BRASIL 1";9
188;"CRÍTICA E HISTÓRIA DA ARTE NO BRASIL 2";9
189;"DESENHO 1";9
190;"DESENHO 2";9
191;"DIPLOMAÇÃO EM ARTES PLÁSTICAS - BACHARELADO";9
192;"DIPLOMAÇÃO EM ARTES PLÁSTICAS - LICENCIATURA";9
193;"ELEMENTOS DE LINGUAGEM, ARTE E CULTURA POPULAR";9
194;"ESCULTURA 1";9
195;"ESCULTURA 2";9
196;"ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 1";9
197;"ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 2";9
198;"ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 3";9
199;"FUNDAMENTOS DA LINGUAGEM VISUAL";9
200;"HISTORIA DA ARTE 1";9
201;"HISTORIA DA ARTE 2";9
202;"HISTORIA DA ARTE 3";9
203;"HISTORIA DA ARTE 4";9
204;"HISTORIA DA ARTE MEDIEVAL";9
205;"HISTORIA DA ARTE MODERNA";9
206;"HISTÓRIA DA ARTE NO BRASIL";9
207;"INTERVENCAO/PERFORMANCE/INSTALACAO";9
208;"INTRODUCAO A GRAVURA";9
209;"LABORATÓRIO DE CRÍTICA,TEORIA E HISTÓRIA DA ARTE 2";9
210;"LABORATÓRIO DE TEORIA, CRÍTICA E HISTÓRIA DA ARTE 1";9
211;"LABORATÓRIO DE TEORIA, CRÍTICA E HISTÓRIA DA ARTE 3";9
212;"LABORATÓRIO DE TEORIA, CRÍTICA E HISTÓRIA DA ARTE 4";9
213;"MATERIAIS EM ARTE 1";9
214;"OFICINA DE FOTOGRAFIA 1";9
215;"PINTURA 1";9
216;"PINTURA 2";9
217;"PROJETO INTERDISCIPLINAR";9
218;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 11";9
219;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 12";9
